Serialnumber;Postal code;Measurement source type;Measurement date;Measurement time;Unit;Measurement value;Correction;House type;Residents;Energy label;Solar panels
1011216;7548BM;electricity;3-12-2020;09:00:00;kWh;0,7897;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;10:00:00;kWh;0,8953;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;11:00:00;kWh;0,5674;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;12:00:00;kWh;0,8639;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;13:00:00;kWh;0,4947;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;14:00:00;kWh;0,2717;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;15:00:00;kWh;0,5569;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;16:00:00;kWh;0,5306;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;17:00:00;kWh;0,7835;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;18:00:00;kWh;1,4546;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;19:00:00;kWh;0,4835;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;20:00:00;kWh;0,3622;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;21:00:00;kWh;0,3233;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;22:00:00;kWh;0,2939;;detachedHouse;3;c;12
1011216;7548BM;electricity;3-12-2020;23:00:00;kWh;0,4689;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;00:00:00;kWh;0,3457;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;01:00:00;kWh;0,3394;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;02:00:00;kWh;0,2664;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;03:00:00;kWh;0,2715;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;04:00:00;kWh;0,2643;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;05:00:00;kWh;0,2419;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;06:00:00;kWh;0,2555;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;07:00:00;kWh;0,2719;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;08:00:00;kWh;0,2588;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;09:00:00;kWh;0,4957;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;10:00:00;kWh;0,0534;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;11:00:00;kWh;0,1795;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;12:00:00;kWh;0,2435;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;13:00:00;kWh;0,4998;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;14:00:00;kWh;0,2721;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;15:00:00;kWh;0,4064;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;16:00:00;kWh;0,5841;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;17:00:00;kWh;0,9399;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;18:00:00;kWh;1,6089;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;19:00:00;kWh;0,6284;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;20:00:00;kWh;0,8001;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;21:00:00;kWh;0,3642;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;22:00:00;kWh;0,3931;;detachedHouse;3;c;12
1011216;7548BM;electricity;4-12-2020;23:00:00;kWh;0,5074;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;00:00:00;kWh;0,3057;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;01:00:00;kWh;0,2394;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;02:00:00;kWh;0,2295;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;03:00:00;kWh;0,2363;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;04:00:00;kWh;0,2166;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;05:00:00;kWh;0,2106;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;06:00:00;kWh;0,2263;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;07:00:00;kWh;0,2287;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;08:00:00;kWh;0,2346;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;09:00:00;kWh;0,189;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;10:00:00;kWh;0,6858;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;11:00:00;kWh;-0,1617;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;12:00:00;kWh;0,9245;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;13:00:00;kWh;-0,0444;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;14:00:00;kWh;0,2246;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;15:00:00;kWh;1,0588;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;16:00:00;kWh;0,5339;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;17:00:00;kWh;0,9328;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;18:00:00;kWh;2,8407;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;19:00:00;kWh;0,6999;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;20:00:00;kWh;0,7222;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;21:00:00;kWh;0,4013;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;22:00:00;kWh;0,3293;;detachedHouse;3;c;12
1011216;7548BM;electricity;5-12-2020;23:00:00;kWh;1,2485;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;00:00:00;kWh;0,4306;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;01:00:00;kWh;0,2846;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;02:00:00;kWh;0,2246;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;03:00:00;kWh;0,2328;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;04:00:00;kWh;0,2214;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;05:00:00;kWh;0,2218;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;06:00:00;kWh;0,2445;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;07:00:00;kWh;0,2286;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;08:00:00;kWh;0,2393;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;09:00:00;kWh;0,2171;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;10:00:00;kWh;0,5551;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;11:00:00;kWh;0,3395;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;12:00:00;kWh;1,0703;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;13:00:00;kWh;0,9122;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;14:00:00;kWh;0,6584;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;15:00:00;kWh;2,0335;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;16:00:00;kWh;0,5915;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;17:00:00;kWh;1,1475;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;18:00:00;kWh;1,0533;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;19:00:00;kWh;0,578;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;20:00:00;kWh;0,7527;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;21:00:00;kWh;0,4576;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;22:00:00;kWh;1,9763;;detachedHouse;3;c;12
1011216;7548BM;electricity;6-12-2020;23:00:00;kWh;2,1215;;detachedHouse;3;c;12
1011216;7548BM;electricity;7-12-2020;00:00:00;kWh;0,3254;;detachedHouse;3;c;12
